ID,Job Code,DeptID,Descr,Degree Level,Hrly Rate,FTE,CREDIT_HRS_TOTAL,Fees,Matric,Weekly Rate,Biweekly Rate,Yearly Rate,Degree Level Coded,Min.Hrly.Rate.Diff.Fixed,Min.Yearly.Rate.Adjusted,Min.Hrly.Yearly.Rate.Diff,Zero.If.Below.Min.Yearly.Rate,Prop.Diff.To.Min.Yearly.Rate,Zero.If.LE.1.Percent.Prop
109199,9184,0-2105-000,Mechanical Engineering,Doctor of Philosophy,20.13,0.13,3,399.44,2373.96,104.68,209.35,4082.36,Doctoral,14.3,2900.3,1182.06,1,40.80%,1
112919,9184,0-1221-000,Criminology,Doctor of Philosophy,14.31,0.2,11,,,114.48,228.96,4464.72,Doctoral,14.3,4462,2.72,1,0.10%,0
112675,9182,0-2500-000,College of Marine Science,Doctor of Philosophy,22.030005,0.2,9,,,176.24,352.48,6873.36,Doctoral,14.3,4462,2411.36,1,54.00%,1
50662,9183,0-1223-000,English,Doctor of Philosophy,20.303803,0.22,9,1607.35,3301.2,178.67,357.35,6968.27,Doctoral,14.3,4908.2,2060.07,1,42.00%,1
105279,9550,0-2414-000,Marching Band,Doctor of Philosophy,14.31,0.25,12,812.56,4401.6,143.1,286.2,5580.9,Doctoral,14.3,5577.5,3.4,1,0.10%,0
105645,9550,0-2402-000,School Of Music,Doctor of Philosophy,14.31,0.25,11,995.35,8704.52,143.1,286.2,5580.9,Doctoral,14.3,5577.5,3.4,1,0.10%,0
105912,9550,0-2402-000,School Of Music,Doctor of Philosophy,14.31,0.25,11,,,143.1,286.2,5580.9,Doctoral,14.3,5577.5,3.4,1,0.10%,0
106157,9550,0-2402-000,School Of Music,Doctor of Philosophy,14.31,0.25,9,837.65,7121.88,143.1,286.2,5580.9,Doctoral,14.3,5577.5,3.4,1,0.10%,0
112332,9550,0-2402-000,School Of Music,Doctor of Philosophy,14.31,0.25,10,,,143.1,286.2,5580.9,Doctoral,14.3,5577.5,3.4,1,0.10%,0
112404,9550,0-2402-000,School Of Music,Doctor of Philosophy,14.31,0.25,11,,,143.1,286.2,5580.9,Doctoral,14.3,5577.5,3.4,1,0.10%,0
113942,9550,0-2402-000,School Of Music,Doctor of Philosophy,14.31,0.25,9,,,143.1,286.2,5580.9,Doctoral,14.3,5577.5,3.4,1,0.10%,0
77818,9183,3-1201-000,College of Arts & Sciences SP,Doctor of Philosophy,14.311225,0.25,9,,,143.11,286.22,5581.38,Doctoral,14.3,5577.5,3.88,1,0.10%,0
83223,9183,3-1201-000,College of Arts & Sciences SP,Doctor of Philosophy,14.311225,0.25,9,,,143.11,286.22,5581.38,Doctoral,14.3,5577.5,3.88,1,0.10%,0
105517,9182,0-2104-000,Civil & Environmental Eng,Doctor of Philosophy,14.31199,0.25,9,1451.36,3301.2,143.12,286.24,5581.68,Doctoral,14.3,5577.5,4.18,1,0.10%,0
90197,9182,0-6119-000,Dept Of Pediatrics,Doctor of Philosophy,14.47,0.25,9,809.65,7121.88,144.7,289.4,5643.3,Doctoral,14.3,5577.5,65.8,1,1.20%,1
66297,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,14.525641,0.25,9,618.67,3301.2,145.26,290.51,5665,Doctoral,14.3,5577.5,87.5,1,1.60%,1
112793,9550,0-2402-000,School Of Music,Doctor of Philosophy,14.9995,0.25,11,,,150,299.99,5849.81,Doctoral,14.3,5577.5,272.31,1,4.90%,1
103171,9185,0-3865-000,Academic Success Center,Doctor of Philosophy,15.04,0.25,12,,,150.4,300.8,5865.6,Doctoral,14.3,5577.5,288.1,1,5.20%,1
47822,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,10,,,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
49768,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,9,,,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
64785,9182,0-2107-000,Chemical & Biomedical Eng,Doctor of Philosophy,15.306122,0.25,12,1814.24,8803.2,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
65522,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,10,683.3,3668,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
75553,9184,0-1221-000,Criminology,Doctor of Philosophy,15.306122,0.25,9,618.67,3301.2,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
84503,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,9,618.67,3301.2,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
87821,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,9,,,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
90699,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,9,618.67,3301.2,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
92244,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,9,,,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
92892,9184,0-1221-000,Criminology,Doctor of Philosophy,15.306122,0.25,9,809.65,7121.88,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
92995,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,9,809.65,7121.88,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
101477,9183,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,10,,,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
114526,9184,0-1714-000,Teaching & Learning,Doctor of Philosophy,15.306122,0.25,10,,,153.06,306.12,5969.39,Doctoral,14.3,5577.5,391.89,1,7.00%,1
